ID,Name,Author,time spent,logged at
13883,KLMF-193,alb433,1h 30m,2020-02-28T04:56:00.000+0000
13881,KLMF-191,alb433,1h 30m,2020-02-28T04:56:00.000+0000
13880,KLMF-190,bdj25,1d,2020-02-22T17:18:00.000+0000
13880,KLMF-190,bdj25,1d,2020-02-22T17:18:00.000+0000
13880,KLMF-190,bdj25,1d,2020-02-22T17:18:00.000+0000
13879,KLMF-189,eay9,2h 15m,2020-02-03T02:01:00.000+0000
13879,KLMF-189,eay9,1h 30m,2020-03-01T16:00:00.000+0000
13878,KLMF-188,csc254,2h 15m,2020-01-29T01:29:00.000+0000
13878,KLMF-188,csc254,1h,2020-01-29T21:58:00.000+0000
13878,KLMF-188,mt779,1d,2020-01-31T02:00:00.000+0000
13878,KLMF-188,ddl58,2h,2020-01-30T23:00:00.000+0000
13878,KLMF-188,csc254,6m,2020-02-02T18:12:00.000+0000
13878,KLMF-188,mt779,1d,2020-02-01T17:00:00.000+0000
13878,KLMF-188,csc254,18m,2020-02-15T16:26:00.000+0000
13876,KLMF-186,mt779,2h,2020-01-28T02:00:00.000+0000
13876,KLMF-186,eay9,1h 30m,2020-02-03T01:54:00.000+0000
13876,KLMF-186,eay9,18m,2020-02-03T01:55:00.000+0000
13875,KLMF-185,csc254,45m,2020-01-18T16:32:00.000+0000
13875,KLMF-185,eay9,1h 15m,2020-01-16T20:26:00.000+0000
13875,KLMF-185,mt779,45m,2020-02-22T17:22:00.000+0000
13875,KLMF-185,csc254,2d 2h,2020-02-28T21:21:00.000+0000
13875,KLMF-185,csc254,1d 30m,2020-02-28T21:22:00.000+0000
13874,KLMF-184,eay9,1h 45m,2020-01-23T20:25:00.000+0000
13874,KLMF-184,csc254,3d 1h,2020-02-28T21:22:00.000+0000
13874,KLMF-184,csc254,1h,2020-02-28T21:24:00.000+0000
13873,KLMF-183,csc254,1h 30m,2020-01-16T15:35:00.000+0000
13873,KLMF-183,csc254,45m,2020-01-18T16:56:00.000+0000
13872,KLMF-182,csc254,1h 30m,2020-01-18T15:34:00.000+0000
13871,KLMF-181,csc254,1h 30m,2020-01-18T15:32:00.000+0000
13870,KLMF-180,csc254,1h 45m,2020-01-18T15:33:00.000+0000
13868,KLMF-178,jb974,1d 2h,2020-01-16T20:37:00.000+0000
13868,KLMF-178,jb974,1d 1h,2020-01-17T20:38:00.000+0000
13868,KLMF-178,meche_issue_lister,1d,2020-02-02T22:43:51.953+0000
13868,KLMF-178,jb974,2h 30m,2020-02-03T03:15:00.000+0000
13868,KLMF-178,meche_issue_lister,1d,2020-02-09T21:56:20.759+0000
13868,KLMF-178,meche_issue_lister,1d,2020-02-17T04:58:18.402+0000
13868,KLMF-178,jb974,1d 30m,2020-02-27T17:59:00.000+0000
13868,KLMF-178,jb974,1h,2020-03-02T18:35:00.000+0000
13868,KLMF-178,meche_issue_lister,1d,2020-03-05T22:51:56.019+0000
13868,KLMF-178,meche_issue_lister,1d,2020-03-05T22:57:25.371+0000
13868,KLMF-178,meche_issue_lister,1d,2020-03-05T22:58:17.660+0000
13866,KLMF-176,alb433,2h 30m,2020-01-24T01:30:00.000+0000
13866,KLMF-176,alb433,2h 30m,2020-01-29T21:30:00.000+0000
13866,KLMF-176,alb433,2h 30m,2020-01-30T17:00:00.000+0000
13866,KLMF-176,alb433,2d,2020-02-04T18:33:00.000+0000
13866,KLMF-176,alb433,1h,2020-02-06T18:33:00.000+0000
13866,KLMF-176,alb433,1d 2h,2020-02-26T01:17:00.000+0000
13865,KLMF-175,mnm54,1h 30m,2020-01-17T17:00:00.000+0000
13865,KLMF-175,mnm54,1d,2020-02-12T02:00:00.000+0000
13865,KLMF-175,csc254,30m,2020-02-12T02:03:00.000+0000
13865,KLMF-175,mnm54,30m,2020-02-14T01:45:00.000+0000
13865,KLMF-175,csc254,2h 45m,2020-02-21T20:30:00.000+0000
13865,KLMF-175,mnm54,1h 30m,2020-02-28T01:45:00.000+0000
13865,KLMF-175,mnm54,1h,2020-02-29T20:56:00.000+0000
13862,KLMF-172,bdj25,1d,2020-01-11T22:50:00.000+0000
13862,KLMF-172,bdj25,1h 30m,2020-01-17T22:08:00.000+0000
13862,KLMF-172,mdl262,1h,2020-01-24T21:33:00.000+0000
13862,KLMF-172,ddl58,1d 30m,2020-01-24T18:00:00.000+0000
13862,KLMF-172,ddl58,1h,2020-01-30T23:00:00.000+0000
13861,KLMF-171,alb433,1d,2020-01-17T16:55:00.000+0000
13861,KLMF-171,zmr5,1h,2020-01-18T08:59:00.000+0000
13861,KLMF-171,jb974,2h,2020-01-18T21:54:00.000+0000
13861,KLMF-171,jb974,1d,2020-01-23T13:37:00.000+0000
13861,KLMF-171,jb974,1h,2020-01-24T15:01:00.000+0000
13861,KLMF-171,zmr5,1d 30m,2020-01-27T22:37:00.000+0000
13861,KLMF-171,zmr5,1d,2020-01-31T05:26:00.000+0000
13860,KLMF-170,mt779,1h,2020-01-13T22:16:00.000+0000
13860,KLMF-170,bdj25,1d,2020-01-07T22:42:00.000+0000
13860,KLMF-170,eay9,45m,2020-01-17T20:16:00.000+0000
13860,KLMF-170,mdl262,1h 30m,2020-02-07T01:50:00.000+0000
13860,KLMF-170,mdl262,2h,2020-02-08T16:12:00.000+0000
13860,KLMF-170,mdl262,1d,2020-02-16T19:40:00.000+0000
13860,KLMF-170,njh84,1d,2020-02-24T20:59:00.000+0000
13859,KLMF-169,mdl262,1d,2020-01-23T02:11:00.000+0000
13859,KLMF-169,mdl262,1h 30m,2020-01-29T21:35:00.000+0000
13859,KLMF-169,mdl262,2h,2020-01-31T01:00:00.000+0000
13859,KLMF-169,mdl262,1d,2020-02-01T20:55:00.000+0000
13859,KLMF-169,zmr5,1h,2020-02-09T19:02:00.000+0000
13858,KLMF-168,mnm54,1d,2020-01-08T22:02:00.000+0000
13858,KLMF-168,mnm54,1d,2020-01-10T04:26:00.000+0000
13858,KLMF-168,mt779,1h,2020-01-09T17:00:00.000+0000
13858,KLMF-168,bdj25,1h,2020-01-07T22:41:00.000+0000
13858,KLMF-168,mdl262,1h 30m,2020-02-07T01:51:00.000+0000
13858,KLMF-168,njh84,1h,2020-02-08T15:30:00.000+0000
13858,KLMF-168,njh84,1d,2020-02-10T23:00:00.000+0000
13858,KLMF-168,mdl262,1d,2020-02-16T19:40:00.000+0000
13858,KLMF-168,njh84,1d,2020-03-05T14:17:00.000+0000
