ID,Name,Author,time spent,logged at
12070,MECH2-165,svk28,1w 2h,2017-03-01T20:45:00.000+0000
12070,MECH2-165,jcw297,2h,2017-03-18T20:49:00.000+0000
12060,MECH2-164,jcw297,1d 30m,2017-02-23T02:25:00.000+0000
12059,MECH2-163,jcw297,2h,2017-02-23T02:26:00.000+0000
12056,MECH2-162,kzy2,1d,2017-02-16T00:36:00.000+0000
12056,MECH2-162,kzy2,1d 1h,2017-03-15T20:39:00.000+0000
12056,MECH2-162,kzy2,1h 30m,2017-03-19T19:00:00.000+0000
11942,MECH2-161,jlf297,1h,2017-03-01T20:46:00.000+0000
11941,MECH2-160,jlf297,1h,2017-03-01T20:46:00.000+0000
11940,MECH2-159,jlf297,1h,2017-03-01T20:45:00.000+0000
11939,MECH2-158,mvb36,1h,2017-03-03T16:00:00.000+0000
11938,MECH2-157,jdb382,1h,2017-01-21T00:55:00.000+0000
11938,MECH2-157,jdb382,2h,2017-01-29T19:26:00.000+0000
11938,MECH2-157,jdb382,1d,2017-02-27T15:34:00.000+0000
11937,MECH2-156,jdb382,1w,2017-01-21T00:52:00.000+0000
11937,MECH2-156,jdb382,1d 1h,2017-02-27T15:33:00.000+0000
11936,MECH2-155,jdb382,1d 1h,2017-01-21T00:48:00.000+0000
11936,MECH2-155,jdb382,3d 1h,2017-02-27T15:33:00.000+0000
11936,MECH2-155,jdb382,2h,2017-02-27T15:33:00.000+0000
11875,MECH2-154,pw349,1d 1h,2017-01-18T16:01:00.000+0000
11874,MECH2-153,tmb233,1d 1h,2017-01-18T22:40:00.000+0000
11873,MECH2-152,dg566,1d 1h,2017-01-18T18:16:00.000+0000
11873,MECH2-152,dg566,1d 1h,2017-02-08T00:13:00.000+0000
11872,MECH2-151,ll543,1d,2017-01-14T21:13:00.000+0000
11872,MECH2-151,nas256,1h 30m,2017-01-14T23:12:00.000+0000
11871,MECH2-150,mvb36,2d,2017-01-18T22:30:00.000+0000
11871,MECH2-150,mvb36,3d,2017-01-19T17:00:00.000+0000
11871,MECH2-150,mvb36,2d 1h,2017-01-20T21:02:00.000+0000
11871,MECH2-150,mvb36,1d 1h,2017-01-22T00:30:00.000+0000
11871,MECH2-150,mvb36,1d 2h,2017-01-23T18:00:00.000+0000
11871,MECH2-150,mvb36,2d,2017-01-30T01:14:00.000+0000
11871,MECH2-150,mvb36,1d 1h,2017-02-04T23:00:00.000+0000
11871,MECH2-150,mvb36,1h 30m,2017-02-06T23:00:00.000+0000
11871,MECH2-150,mvb36,1d 1h,2017-02-09T23:00:00.000+0000
11871,MECH2-150,mvb36,1h,2017-02-12T22:00:00.000+0000
11871,MECH2-150,mvb36,1d,2017-02-16T00:30:00.000+0000
11871,MECH2-150,mvb36,1h,2017-02-17T08:30:00.000+0000
11871,MECH2-150,mvb36,2h 40m,2017-02-26T04:50:00.000+0000
11871,MECH2-150,mvb36,1h 45m,2017-02-28T01:00:00.000+0000
11871,MECH2-150,mvb36,2h 10m,2017-03-03T20:20:00.000+0000
11871,MECH2-150,mvb36,1h 15m,2017-03-04T22:30:00.000+0000
11871,MECH2-150,mvb36,1d 1h,2017-03-05T20:00:00.000+0000
11871,MECH2-150,mvb36,1h 30m,2017-03-11T20:50:00.000+0000
11871,MECH2-150,mvb36,1d 2h 45m,2017-03-12T19:30:00.000+0000
11871,MECH2-150,mvb36,1d 45m,2017-03-14T15:45:00.000+0000
11870,MECH2-149,zw85,15m,2017-01-20T05:32:00.000+0000
11870,MECH2-149,zw85,45m,2017-01-20T05:32:00.000+0000
11870,MECH2-149,zw85,4d 2h,2017-01-20T05:32:00.000+0000
11870,MECH2-149,zw85,3d,2017-01-21T14:40:00.000+0000
11870,MECH2-149,zw85,4m,2017-01-22T20:41:00.000+0000
11870,MECH2-149,zw85,56m,2017-01-22T20:41:00.000+0000
11870,MECH2-149,zw85,1d,2017-01-22T20:41:00.000+0000
11870,MECH2-149,zw85,1d 2h,2017-01-24T19:39:00.000+0000
11870,MECH2-149,zw85,3d,2017-02-05T04:25:00.000+0000
11870,MECH2-149,zw85,1d,2017-02-06T21:45:00.000+0000
11870,MECH2-149,zw85,2h,2017-02-07T02:34:00.000+0000
11870,MECH2-149,zw85,1h,2017-02-07T21:44:00.000+0000
11870,MECH2-149,zw85,1d,2017-02-27T00:24:00.000+0000
11870,MECH2-149,zw85,1d 1h,2017-03-06T13:31:00.000+0000
11870,MECH2-149,zw85,3d 30m,2017-03-17T15:33:00.000+0000
11870,MECH2-149,zw85,2d 1h 30m,2017-03-20T08:24:00.000+0000
11869,MECH2-148,csc254,2d,2017-01-18T18:04:00.000+0000
11869,MECH2-148,csc254,3d,2017-01-19T18:05:00.000+0000
11869,MECH2-148,csc254,2d,2017-01-20T19:09:00.000+0000
11869,MECH2-148,csc254,2d 1h,2017-01-21T19:10:00.000+0000
11869,MECH2-148,csc254,1d 2h,2017-01-22T23:04:00.000+0000
11869,MECH2-148,csc254,1d 30m,2017-01-23T19:11:00.000+0000
11869,MECH2-148,csc254,1d 1h,2017-01-30T02:48:00.000+0000
11869,MECH2-148,csc254,1d 1h,2017-02-04T13:05:00.000+0000
11869,MECH2-148,csc254,2h 30m,2017-02-05T13:05:00.000+0000
11869,MECH2-148,csc254,1d 1h 15m,2017-02-06T14:50:00.000+0000
11869,MECH2-148,csc254,1h 30m,2017-02-12T15:52:00.000+0000
11869,MECH2-148,csc254,1d,2017-02-24T15:11:00.000+0000
11869,MECH2-148,csc254,1d 2h,2017-02-26T15:11:00.000+0000
11869,MECH2-148,csc254,1d 1h,2017-03-11T21:36:00.000+0000
11869,MECH2-148,csc254,1d 2h 45m,2017-03-13T03:42:00.000+0000
11869,MECH2-148,csc254,1d,2017-03-14T04:19:00.000+0000
11868,MECH2-147,jm2424,2h 30m,2017-01-15T00:00:00.000+0000
11867,MECH2-146,ll543,1d,2017-01-14T20:42:00.000+0000
11866,MECH2-145,jdb382,5d,2017-01-29T19:33:00.000+0000
11866,MECH2-145,jdb382,4m,2017-01-30T17:27:00.000+0000
11866,MECH2-145,jdb382,5d 1h,2017-02-12T19:05:00.000+0000
11866,MECH2-145,jdb382,4d,2017-02-27T15:35:00.000+0000
11866,MECH2-145,jdb382,3d 1h,2017-03-15T16:41:00.000+0000
11864,MECH2-143,etc59,1d 1h,2017-01-29T20:47:00.000+0000
11864,MECH2-143,etc59,1d 30m,2017-01-26T20:48:00.000+0000
11864,MECH2-143,etc59,2h 12m,2017-02-01T20:49:00.000+0000
11864,MECH2-143,etc59,2h,2017-02-05T03:24:00.000+0000
11864,MECH2-143,etc59,2h 30m,2017-02-05T21:02:00.000+0000
11864,MECH2-143,etc59,1h 30m,2017-02-10T01:49:00.000+0000
11864,MECH2-143,etc59,1d,2017-02-05T21:33:00.000+0000
11864,MECH2-143,etc59,1d,2017-02-15T22:45:00.000+0000
11864,MECH2-143,etc59,2h,2017-02-14T22:46:00.000+0000
11864,MECH2-143,etc59,1d 15m,2017-02-27T00:50:00.000+0000
11864,MECH2-143,etc59,2h,2017-03-02T02:00:00.000+0000
11864,MECH2-143,etc59,1d 1h,2017-03-06T01:03:00.000+0000
11864,MECH2-143,etc59,1d,2017-03-07T01:03:00.000+0000
11864,MECH2-143,etc59,1d 1h,2017-03-12T06:23:00.000+0000
11864,MECH2-143,etc59,1d 30m,2017-03-13T05:23:00.000+0000
11864,MECH2-143,etc59,1d 1h,2017-03-14T05:23:00.000+0000
11864,MECH2-143,etc59,1d,2017-03-09T06:24:00.000+0000
11864,MECH2-143,etc59,1d,2017-04-10T23:43:00.000+0000
11864,MECH2-143,etc59,2h,2017-04-23T21:39:00.000+0000
11864,MECH2-143,etc59,1d 2h,2017-04-30T23:27:00.000+0000
11863,MECH2-142,sjt85,2h,2017-01-29T20:00:00.000+0000
11863,MECH2-142,sjt85,2h 30m,2017-02-05T20:30:00.000+0000
11863,MECH2-142,sjt85,1h 45m,2017-02-12T20:00:00.000+0000
11863,MECH2-142,sjt85,2h,2017-02-10T16:00:00.000+0000
11863,MECH2-142,sjt85,1d,2017-02-05T20:00:00.000+0000
11863,MECH2-142,sjt85,1d 2h,2017-02-19T20:00:00.000+0000
11863,MECH2-142,sjt85,2h,2017-03-12T18:30:00.000+0000
11863,MECH2-142,sjt85,2d,2017-03-14T16:30:00.000+0000
11863,MECH2-142,sjt85,2h,2017-03-15T23:00:00.000+0000
11862,MECH2-141,ll543,1d 1h 30m,2017-01-14T20:41:00.000+0000
11862,MECH2-141,aml326,2h 30m,2017-01-15T19:35:00.000+0000
11862,MECH2-141,aml326,1d,2017-01-19T23:20:00.000+0000
11862,MECH2-141,aml326,2d 1h,2017-01-23T15:40:00.000+0000
11862,MECH2-141,aml326,1d 1h,2017-01-24T20:07:00.000+0000
11862,MECH2-141,aml326,1d 30m,2017-01-30T02:49:00.000+0000
11862,MECH2-141,aml326,1d,2017-02-02T02:12:00.000+0000
11862,MECH2-141,aml326,1d,2017-02-06T21:51:00.000+0000
11862,MECH2-141,aml326,1d 1h,2017-02-13T02:02:00.000+0000
11862,MECH2-141,aml326,1d 1h,2017-02-13T02:02:00.000+0000
11862,MECH2-141,aml326,1d 2h,2017-02-27T15:39:00.000+0000
11862,MECH2-141,aml326,2h,2017-03-01T20:42:00.000+0000
11862,MECH2-141,aml326,2d 30m,2017-03-08T23:34:00.000+0000
11861,MECH2-140,ll543,1d 1h 30m,2017-01-14T20:42:00.000+0000
11861,MECH2-140,jlf297,1d 30m,2017-01-15T07:22:00.000+0000
11861,MECH2-140,jlf297,4d,2017-02-05T18:33:00.000+0000
11861,MECH2-140,jlf297,1d,2017-02-05T18:33:00.000+0000
11861,MECH2-140,jlf297,1d 1h,2017-03-14T15:44:00.000+0000
11861,MECH2-140,jlf297,1d 30m,2017-03-14T15:45:00.000+0000
11861,MECH2-140,jlf297,1d 1h,2017-03-14T15:46:00.000+0000
11861,MECH2-140,jlf297,2d 1h,2017-03-14T15:47:00.000+0000
11860,MECH2-139,ll543,3d,2017-01-14T20:41:00.000+0000
11860,MECH2-139,cep89,2d,2017-01-14T16:40:00.000+0000
11860,MECH2-139,cep89,1d 1h,2017-01-17T22:41:00.000+0000
11860,MECH2-139,cep89,1d 30m,2017-01-18T22:53:00.000+0000
11860,MECH2-139,cep89,1h,2017-01-19T18:29:00.000+0000
11860,MECH2-139,cep89,2d 2h,2017-01-22T05:21:00.000+0000
11860,MECH2-139,cep89,1d,2017-01-24T18:32:00.000+0000
11860,MECH2-139,cep89,25m,2017-01-24T21:42:00.000+0000
11860,MECH2-139,cep89,2h,2017-01-24T23:36:00.000+0000
11860,MECH2-139,cep89,1d 30m,2017-01-30T02:10:00.000+0000
11860,MECH2-139,cep89,2h 30m,2017-02-06T19:25:00.000+0000
11860,MECH2-139,cep89,1d 30m,2017-02-07T16:50:00.000+0000
11860,MECH2-139,cep89,2d 15m,2017-02-25T22:06:00.000+0000
11860,MECH2-139,cep89,2h,2017-02-27T15:47:00.000+0000
11860,MECH2-139,cep89,1d 30m,2017-03-04T18:51:00.000+0000
11860,MECH2-139,cep89,1d 1h,2017-03-06T22:25:00.000+0000
11860,MECH2-139,cep89,1h 15m,2017-03-08T16:02:00.000+0000
11860,MECH2-139,cep89,1d 2h 45m,2017-03-13T02:42:00.000+0000
11860,MECH2-139,cep89,1h 15m,2017-03-13T20:40:00.000+0000
11860,MECH2-139,cep89,1d 1h 30m,2017-03-14T20:40:00.000+0000
11859,MECH2-138,ll543,1d 1h 30m,2017-01-14T20:41:00.000+0000
11859,MECH2-138,svk28,1d 30m,2017-01-15T03:35:00.000+0000
11859,MECH2-138,svk28,1h 30m,2017-01-17T03:38:00.000+0000
11859,MECH2-138,svk28,2d 2h,2017-01-24T20:13:00.000+0000
11859,MECH2-138,svk28,2d 2h,2017-01-30T16:11:00.000+0000
11859,MECH2-138,svk28,2d 1h,2017-02-05T04:52:00.000+0000
11859,MECH2-138,svk28,1d 30m,2017-02-07T01:45:00.000+0000
11859,MECH2-138,svk28,1d 30m,2017-02-08T06:22:00.000+0000
11859,MECH2-138,svk28,1d 1h,2017-02-10T14:34:00.000+0000
11859,MECH2-138,svk28,2h 30m,2017-02-13T03:55:00.000+0000
11859,MECH2-138,svk28,2d 2h,2017-03-01T20:43:00.000+0000
11859,MECH2-138,svk28,2d 2h,2017-03-15T14:22:00.000+0000
11858,MECH2-137,ll543,1d 2h,2017-01-14T20:41:00.000+0000
11858,MECH2-137,ll543,2h 30m,2017-01-15T02:30:00.000+0000
11858,MECH2-137,ll543,1d 30m,2017-01-18T23:13:00.000+0000
11858,MECH2-137,ll543,1d 2h,2017-01-21T17:10:00.000+0000
11858,MECH2-137,ll543,1d 2h 30m,2017-01-22T06:59:00.000+0000
11858,MECH2-137,ll543,2d 2h,2017-01-24T18:04:00.000+0000
11858,MECH2-137,ll543,1d 30m,2017-01-30T00:40:00.000+0000
11858,MECH2-137,ll543,1d 1h,2017-02-05T04:21:00.000+0000
11858,MECH2-137,ll543,2d,2017-02-06T03:54:00.000+0000
11858,MECH2-137,ll543,2d,2017-02-12T21:29:00.000+0000
11858,MECH2-137,ll543,2h 30m,2017-02-26T23:38:00.000+0000
11858,MECH2-137,ll543,1d,2017-02-27T15:25:00.000+0000
11858,MECH2-137,ll543,2d,2017-03-06T07:13:00.000+0000
11858,MECH2-137,ll543,2d 30m,2017-03-13T21:45:00.000+0000
11858,MECH2-137,ll543,2d,2017-03-20T01:19:00.000+0000
11858,MECH2-137,asb322,1m,2018-04-09T07:43:00.000+0000
11858,MECH2-137,asb322,1m,2018-04-09T07:49:00.000+0000
11857,MECH2-136,jgf82,1m,2017-01-19T22:22:00.000+0000
11857,MECH2-136,jgf82,1m,2017-01-19T22:23:00.000+0000
11857,MECH2-136,jgf82,1m,2017-01-19T22:23:00.000+0000
11856,MECH2-135,ll543,1d,2017-01-14T20:34:00.000+0000
11856,MECH2-135,jcw297,1h,2017-01-14T22:03:00.000+0000
11856,MECH2-135,jcw297,1d 1h,2017-01-19T04:51:00.000+0000
11856,MECH2-135,jcw297,1h,2017-01-19T04:51:00.000+0000
11856,MECH2-135,jcw297,1h 30m,2017-01-21T21:08:00.000+0000
11856,MECH2-135,jcw297,1d 2h 30m,2017-01-22T06:56:00.000+0000
11856,MECH2-135,jcw297,1d 1h,2017-01-24T20:08:00.000+0000
11856,MECH2-135,jcw297,1d 30m,2017-01-30T14:07:00.000+0000
11856,MECH2-135,jcw297,30m,2017-02-03T23:34:00.000+0000
11856,MECH2-135,jcw297,15m,2017-02-04T17:26:00.000+0000
11856,MECH2-135,jcw297,2d 1h,2017-02-05T15:40:00.000+0000
11856,MECH2-135,jcw297,1h,2017-02-07T22:29:00.000+0000
11856,MECH2-135,jcw297,1h,2017-02-09T21:33:00.000+0000
11856,MECH2-135,jcw297,2h 30m,2017-02-10T04:38:00.000+0000
11856,MECH2-135,jcw297,2h 30m,2017-02-16T17:00:00.000+0000
11856,MECH2-135,jcw297,2h,2017-02-25T22:47:00.000+0000
11856,MECH2-135,jcw297,1d 30m,2017-02-27T01:14:00.000+0000
11856,MECH2-135,jcw297,1h,2017-03-05T00:53:00.000+0000
11856,MECH2-135,jcw297,1d,2017-03-06T22:19:00.000+0000
11856,MECH2-135,jcw297,1d 2h 45m,2017-03-13T18:40:00.000+0000
11855,MECH2-134,ll543,1h 30m,2017-02-26T23:38:00.000+0000
11854,MECH2-133,svk28,1d 1h,2017-03-01T20:48:00.000+0000
11851,MECH2-130,svk28,1d,2017-01-17T03:44:00.000+0000
11851,MECH2-130,svk28,1d 2h,2017-01-14T03:44:00.000+0000
11850,MECH2-129,svk28,1d 1h,2017-01-24T20:10:00.000+0000
11850,MECH2-129,svk28,1h,2017-03-01T20:49:00.000+0000
11849,MECH2-128,svk28,4d,2017-01-24T20:10:00.000+0000
11848,MECH2-127,svk28,1d 2h,2017-01-10T08:26:00.000+0000
11847,MECH2-126,svk28,1d 1h,2017-01-12T08:17:00.000+0000
11846,MECH2-125,jlf297,2h,2017-01-20T22:50:00.000+0000
11845,MECH2-124,jlf297,1h,2017-01-20T22:51:00.000+0000
11844,MECH2-123,jlf297,1d,2017-01-20T22:50:00.000+0000
11843,MECH2-122,jlf297,30m,2017-01-17T03:16:00.000+0000
11843,MECH2-122,jlf297,2h,2017-01-20T22:50:00.000+0000
11842,MECH2-121,jlf297,1d,2017-01-20T22:49:00.000+0000
11841,MECH2-120,jlf297,1d,2017-01-20T22:49:00.000+0000
11841,MECH2-120,ll543,2h,2017-01-29T03:30:00.000+0000
11841,MECH2-120,jcw297,2h 30m,2017-02-23T02:27:00.000+0000
11841,MECH2-120,jlf297,2h,2017-03-01T20:44:00.000+0000
