ID,Name,Author,time spent,logged at
13525,OAMF-160,alb433,15m,2019-03-08T19:16:00.000+0000
13524,OAMF-159,alb433,30m,2019-03-09T15:33:00.000+0000
13523,OAMF-158,alb433,30m,2019-03-09T15:31:00.000+0000
13523,OAMF-158,alb433,6m,2019-03-18T18:05:00.000+0000
13522,OAMF-157,bdj25,1h,2019-03-01T02:17:00.000+0000
13522,OAMF-157,bdj25,1h,2019-03-20T01:06:00.000+0000
13520,OAMF-156,csc254,30m,2019-02-09T20:20:00.000+0000
13517,OAMF-154,bdj25,1d,2019-03-01T02:16:00.000+0000
13516,OAMF-153,bdj25,1h 30m,2019-02-22T17:01:00.000+0000
13516,OAMF-153,bdj25,1h,2019-02-28T04:37:00.000+0000
13516,OAMF-153,bdj25,1h,2019-03-02T16:21:00.000+0000
13515,OAMF-152,bdj25,1h 30m,2019-02-20T02:29:00.000+0000
13515,OAMF-152,bdj25,1h 30m,2019-02-22T16:59:00.000+0000
13515,OAMF-152,bdj25,2d,2019-03-01T02:15:00.000+0000
13514,OAMF-151,bdj25,1d,2019-03-06T01:47:00.000+0000
13514,OAMF-151,zmr5,1d,2019-03-22T03:07:00.000+0000
13513,OAMF-150,bdj25,1d,2019-02-07T15:15:00.000+0000
13513,OAMF-150,bdj25,2d,2019-02-07T15:15:00.000+0000
13513,OAMF-150,eay9,1d,2019-02-11T15:49:00.000+0000
13513,OAMF-150,eay9,1h 30m,2019-02-20T02:26:00.000+0000
13513,OAMF-150,bdj25,1d,2019-03-20T01:06:00.000+0000
13513,OAMF-150,bdj25,1h,2019-03-23T03:29:00.000+0000
13513,OAMF-150,bdj25,1d 1h,2019-04-12T01:38:00.000+0000
13513,OAMF-150,bz297,1d,2019-04-12T02:19:00.000+0000
13513,OAMF-150,mb2343,1d 30m,2019-04-12T20:38:00.000+0000
13513,OAMF-150,bz297,1d,2019-04-12T17:58:00.000+0000
13513,OAMF-150,mt779,30m,2019-04-14T03:48:00.000+0000
13512,OAMF-149,bdj25,1d,2019-02-13T03:07:00.000+0000
13512,OAMF-149,bdj25,2d 2h,2019-02-17T00:31:00.000+0000
13512,OAMF-149,bdj25,1h 30m,2019-02-20T02:28:00.000+0000
13512,OAMF-149,eay9,1d,2019-03-11T01:45:00.000+0000
13512,OAMF-149,bdj25,1d,2019-03-20T01:05:00.000+0000
13512,OAMF-149,bdj25,1h,2019-03-23T03:27:00.000+0000
13512,OAMF-149,bdj25,1d,2019-03-23T19:21:00.000+0000
13512,OAMF-149,mb2343,2h 30m,2019-04-14T00:20:00.000+0000
13511,OAMF-148,zmr5,2h,2019-03-29T01:10:00.000+0000
13511,OAMF-148,zmr5,1h,2019-04-08T14:45:00.000+0000
13511,OAMF-148,zmr5,1d,2019-04-11T17:11:00.000+0000
13510,OAMF-147,mt779,1d 1h,2019-03-23T12:00:00.000+0000
13510,OAMF-147,mt779,1d,2019-03-28T22:00:00.000+0000
13509,OAMF-146,csc254,1d 30m,2019-03-16T15:23:00.000+0000
13509,OAMF-146,csc254,1h 30m,2019-04-13T13:36:00.000+0000
13509,OAMF-146,csc254,1h 30m,2019-04-10T13:37:00.000+0000
13508,OAMF-145,mnm54,1d,2019-01-29T23:49:00.000+0000
13508,OAMF-145,mnm54,1d 1h,2019-02-04T13:47:00.000+0000
13508,OAMF-145,mnm54,1d,2019-02-07T22:47:00.000+0000
13508,OAMF-145,mnm54,1d,2019-03-29T01:57:00.000+0000
13508,OAMF-145,mnm54,1h,2019-04-13T16:52:00.000+0000
13507,OAMF-144,mnm54,2d,2019-02-09T16:05:00.000+0000
13507,OAMF-144,mnm54,1d,2019-02-27T15:07:00.000+0000
13507,OAMF-144,mnm54,1d,2019-03-14T21:35:00.000+0000
13507,OAMF-144,mnm54,1d,2019-03-20T02:07:00.000+0000
13507,OAMF-144,mnm54,1d,2019-03-27T02:19:00.000+0000
13507,OAMF-144,mnm54,2h,2019-04-09T23:53:00.000+0000
13507,OAMF-144,mnm54,2h,2019-04-13T16:52:00.000+0000
13507,OAMF-144,mnm54,30m,2019-04-17T18:58:00.000+0000
13506,OAMF-143,mnm54,1d,2019-02-24T23:08:00.000+0000
13506,OAMF-143,mnm54,1d,2019-03-01T15:51:00.000+0000
13506,OAMF-143,bz297,1d,2019-03-24T01:45:00.000+0000
13506,OAMF-143,bz297,1d,2019-03-28T20:36:00.000+0000
13505,OAMF-142,mnm54,2h,2019-02-15T19:36:00.000+0000
13505,OAMF-142,mnm54,2h,2019-02-19T21:20:00.000+0000
13505,OAMF-142,mt779,1h 30m,2019-02-28T23:00:00.000+0000
13505,OAMF-142,mt779,1h 30m,2019-03-02T18:00:00.000+0000
13504,OAMF-141,mnm54,1d,2019-01-29T23:49:00.000+0000
13504,OAMF-141,mnm54,1d 1h,2019-02-04T13:47:00.000+0000
13504,OAMF-141,mnm54,1d,2019-02-07T22:47:00.000+0000
13503,OAMF-140,mnm54,1d 1h,2019-03-02T23:29:00.000+0000
13503,OAMF-140,mnm54,1d,2019-03-05T02:07:00.000+0000
13503,OAMF-140,mnm54,2h,2019-03-05T16:42:00.000+0000
13503,OAMF-140,mnm54,1d,2019-03-06T03:14:00.000+0000
13503,OAMF-140,mnm54,1d,2019-03-07T02:29:00.000+0000
13503,OAMF-140,mnm54,2h,2019-03-07T18:16:00.000+0000
13503,OAMF-140,eay9,1d 45m,2019-03-11T01:46:00.000+0000
13503,OAMF-140,csc254,1d,2019-03-01T14:12:00.000+0000
13502,OAMF-139,alb433,2h,2019-02-17T05:09:00.000+0000
13502,OAMF-139,alb433,2h,2019-02-20T03:36:00.000+0000
13502,OAMF-139,alb433,30m,2019-03-02T19:58:00.000+0000
13502,OAMF-139,alb433,1h 33m,2019-03-10T19:33:00.000+0000
13502,OAMF-139,alb433,3m,2019-03-10T19:34:00.000+0000
13502,OAMF-139,alb433,1d,2019-03-15T01:00:00.000+0000
13502,OAMF-139,alb433,30m,2019-03-16T22:22:00.000+0000
13502,OAMF-139,alb433,1h,2019-03-20T06:14:00.000+0000
13502,OAMF-139,alb433,1d,2019-03-22T02:31:00.000+0000
13502,OAMF-139,alb433,1h,2019-03-27T01:05:00.000+0000
13502,OAMF-139,alb433,1h 45m,2019-04-12T01:00:00.000+0000
13501,OAMF-138,alb433,1d,2019-02-02T21:06:00.000+0000
13501,OAMF-138,alb433,1h,2019-02-12T13:07:00.000+0000
13501,OAMF-138,alb433,1d 1h,2019-02-17T05:09:00.000+0000
13501,OAMF-138,alb433,1h,2019-02-17T05:10:00.000+0000
13501,OAMF-138,alb433,30m,2019-02-20T03:35:00.000+0000
13501,OAMF-138,bz297,1d,2019-03-24T01:44:00.000+0000
13501,OAMF-138,alb433,2h,2019-03-27T01:06:00.000+0000
13501,OAMF-138,bz297,1d,2019-04-02T20:35:00.000+0000
13501,OAMF-138,bz297,1d,2019-04-03T06:16:00.000+0000
13501,OAMF-138,bz297,1d,2019-04-06T22:18:00.000+0000
13501,OAMF-138,alb433,2h,2019-04-10T00:02:00.000+0000
13501,OAMF-138,alb433,1h,2019-04-12T01:00:00.000+0000
13501,OAMF-138,alb433,2h,2019-04-13T21:12:00.000+0000
13500,OAMF-137,alb433,1d 2h 30m,2019-02-01T22:41:00.000+0000
13500,OAMF-137,alb433,1d 1h,2019-02-10T04:25:00.000+0000
13500,OAMF-137,alb433,1h,2019-02-17T05:08:00.000+0000
13500,OAMF-137,alb433,1d,2019-03-01T05:13:00.000+0000
13500,OAMF-137,alb433,15m,2019-03-02T19:58:00.000+0000
13500,OAMF-137,alb433,1h,2019-04-13T17:47:00.000+0000
13500,OAMF-137,alb433,30m,2019-04-13T21:08:00.000+0000
13435,OAMF-136,csc254,1d,2019-01-16T17:55:00.000+0000
13435,OAMF-136,bz297,1h 30m,2019-01-16T21:13:00.000+0000
13434,OAMF-135,cep89,3d,2019-01-28T00:07:00.000+0000
13434,OAMF-135,csc254,1d,2019-01-28T17:03:00.000+0000
13434,OAMF-135,csc254,4d,2019-02-03T23:01:00.000+0000
13434,OAMF-135,csc254,5d 2h,2019-02-10T22:50:00.000+0000
13434,OAMF-135,cep89,2w 2d,2019-02-11T05:01:00.000+0000
13434,OAMF-135,csc254,3d,2019-02-17T22:57:00.000+0000
13432,OAMF-133,bdj25,5d 2h,2019-01-16T04:55:00.000+0000
13432,OAMF-133,bdj25,2d,2019-01-20T06:39:00.000+0000
13432,OAMF-133,bdj25,2d,2019-01-29T22:35:00.000+0000
13432,OAMF-133,bdj25,3d,2019-02-11T05:36:00.000+0000
13432,OAMF-133,bdj25,1d,2019-03-06T03:29:00.000+0000
13432,OAMF-133,bdj25,2d,2019-04-15T03:18:00.000+0000
13432,OAMF-133,bdj25,1d,2019-04-15T03:19:00.000+0000
13431,OAMF-132,bpm74,1d 2h,2019-01-16T02:10:00.000+0000
13431,OAMF-132,bpm74,2d,2019-01-17T02:10:00.000+0000
13431,OAMF-132,bpm74,2d,2019-01-17T16:18:00.000+0000
13431,OAMF-132,bpm74,1d,2019-01-18T16:19:00.000+0000
13431,OAMF-132,bpm74,1d,2019-01-19T16:20:00.000+0000
13431,OAMF-132,bpm74,2d,2019-02-14T03:22:00.000+0000
13431,OAMF-132,bpm74,1d,2019-02-14T03:22:00.000+0000
13431,OAMF-132,bpm74,2d,2019-02-14T03:23:00.000+0000
13431,OAMF-132,bpm74,2d,2019-03-22T01:57:00.000+0000
13431,OAMF-132,bpm74,3d,2019-03-22T01:57:00.000+0000
13431,OAMF-132,bpm74,1h,2019-03-22T01:58:00.000+0000
13430,OAMF-131,mnm54,1d 2h,2019-01-16T01:54:00.000+0000
13430,OAMF-131,mnm54,2d,2019-01-17T02:06:00.000+0000
13430,OAMF-131,mnm54,2d,2019-01-17T15:12:00.000+0000
13430,OAMF-131,mnm54,1d,2019-01-18T17:17:00.000+0000
13430,OAMF-131,mnm54,1d,2019-01-19T17:17:00.000+0000
13430,OAMF-131,mnm54,2d,2019-01-27T23:48:00.000+0000
13430,OAMF-131,mnm54,1d,2019-02-01T13:46:00.000+0000
13430,OAMF-131,mnm54,2d,2019-02-11T02:44:00.000+0000
13430,OAMF-131,mnm54,2d,2019-02-17T15:08:00.000+0000
13430,OAMF-131,mnm54,4d,2019-03-04T16:13:00.000+0000
13430,OAMF-131,mnm54,1d,2019-03-24T18:37:00.000+0000
13430,OAMF-131,mnm54,2d 1h 30m,2019-04-15T03:18:00.000+0000
13429,OAMF-130,alb433,3d 2h,2019-01-15T17:03:00.000+0000
13429,OAMF-130,alb433,2d,2019-01-17T21:51:00.000+0000
13429,OAMF-130,alb433,1d,2019-01-19T06:16:00.000+0000
13429,OAMF-130,alb433,1d,2019-01-20T03:09:00.000+0000
13429,OAMF-130,alb433,2d,2019-01-28T03:47:00.000+0000
13429,OAMF-130,alb433,1d,2019-02-03T19:36:00.000+0000
13429,OAMF-130,alb433,1h 45m,2019-02-11T17:12:00.000+0000
13429,OAMF-130,alb433,2h,2019-02-10T19:34:00.000+0000
13429,OAMF-130,alb433,2d,2019-02-18T03:33:00.000+0000
13429,OAMF-130,alb433,3d 1h,2019-03-04T19:04:00.000+0000
13429,OAMF-130,alb433,2h,2019-03-07T00:04:00.000+0000
13429,OAMF-130,alb433,30m,2019-04-13T17:49:00.000+0000
13429,OAMF-130,alb433,30m,2019-04-13T21:07:00.000+0000
13429,OAMF-130,alb433,1d 1h,2019-04-15T03:00:00.000+0000
13428,OAMF-129,mb2343,1d,2019-01-17T18:11:00.000+0000
13428,OAMF-129,mb2343,2h,2019-01-17T18:11:00.000+0000
