alb433,alb433 logged at,bdj25,bdj25 logged at,csc254,csc254 logged at,zmr5,zmr5 logged at,eay9,eay9 logged at,bz297,bz297 logged at,mb2343,mb2343 logged at,mt779,mt779 logged at,mnm54,mnm54 logged at,jb974,jb974 logged at,cep89,cep89 logged at,bpm74,bpm74 logged at,kan57,kan57 logged at
0.25,2019-03-08T19:16:00.000+0000,1.0,2019-03-01T02:17:00.000+0000,0.5,2019-02-09T20:20:00.000+0000,3.0,2019-03-22T03:07:00.000+0000,3.0,2019-02-11T15:49:00.000+0000,3.0,2019-04-12T02:19:00.000+0000,0.5,2019-04-12T20:38:00.000+0000,0.5,2019-04-14T03:48:00.000+0000,3.0,2019-01-29T23:49:00.000+0000,2.0,2019-01-11T00:27:00.000+0000,0.75,2019-01-11T17:28:00.000+0000,3.0,2019-02-14T03:12:00.000+0000,1.0,2019-03-22T13:20:00.000+0000
0.75,2019-03-09T15:33:00.000+0000,2.0,2019-03-20T01:06:00.000+0000,1.0,2019-03-16T15:23:00.000+0000,5.0,2019-03-29T01:10:00.000+0000,3.5,2019-02-20T02:26:00.000+0000,6.0,2019-04-12T17:58:00.000+0000,1.0,2019-04-14T00:20:00.000+0000,4.5,2019-03-23T12:00:00.000+0000,7.0,2019-02-04T13:47:00.000+0000,3.0,2019-01-11T00:27:00.000+0000,3.75,2019-02-01T04:44:00.000+0000,6.0,2019-02-14T03:16:00.000+0000,3.0,2019-03-22T13:21:00.000+0000
1.25,2019-03-09T15:31:00.000+0000,5.0,2019-03-01T02:16:00.000+0000,1.5,2019-04-13T13:36:00.000+0000,6.0,2019-04-08T14:45:00.000+0000,6.5,2019-03-11T01:45:00.000+0000,9.0,2019-03-24T01:45:00.000+0000,4.0,2019-01-11T17:39:00.000+0000,7.5,2019-03-28T22:00:00.000+0000,10.0,2019-02-07T22:47:00.000+0000,5.0,2019-01-11T00:29:00.000+0000,4.75,2019-01-11T04:33:00.000+0000,7.0,2019-02-14T03:19:00.000+0000,5.0,2019-03-27T00:42:00.000+0000
1.35,2019-03-18T18:05:00.000+0000,5.5,2019-02-22T17:01:00.000+0000,2.0,2019-04-10T13:37:00.000+0000,9.0,2019-04-11T17:11:00.000+0000,7.25,2019-03-11T01:46:00.000+0000,12.0,2019-03-28T20:36:00.000+0000,10.0,2019-01-15T20:50:00.000+0000,8.0,2019-02-28T23:00:00.000+0000,13.0,2019-03-29T01:57:00.000+0000,6.0,2019-01-11T00:29:00.000+0000,8.75,2019-01-18T22:51:00.000+0000,10.0,2019-02-14T03:19:00.000+0000,7.0,2019-02-10T16:33:00.000+0000
3.35,2019-02-17T05:09:00.000+0000,6.5,2019-02-28T04:37:00.000+0000,5.0,2019-03-01T14:12:00.000+0000,11.0,2019-02-13T02:01:00.000+0000,7.75,2019-01-09T21:48:00.000+0000,15.0,2019-03-24T01:44:00.000+0000,16.0,2019-01-17T18:08:00.000+0000,8.5,2019-03-02T18:00:00.000+0000,14.0,2019-04-13T16:52:00.000+0000,7.0,2019-01-11T00:28:00.000+0000,9.2,2019-01-19T15:57:00.000+0000,13.0,2019-03-22T01:38:00.000+0000,7.5,2019-03-27T00:40:00.000+0000
5.35,2019-02-20T03:36:00.000+0000,7.5,2019-03-02T16:21:00.000+0000,8.0,2019-01-16T17:55:00.000+0000,13.0,2019-02-17T18:06:00.000+0000,13.75,2019-03-11T01:49:00.000+0000,18.0,2019-04-02T20:35:00.000+0000,17.0,2019-02-03T10:12:00.000+0000,9.5,2019-01-09T18:00:00.000+0000,20.0,2019-02-09T16:05:00.000+0000,,,9.216666666666667,2019-01-10T22:01:00.000+0000,16.0,2019-03-22T01:41:00.000+0000,,
5.85,2019-03-02T19:58:00.000+0000,8.0,2019-02-20T02:29:00.000+0000,8.5,2018-12-06T22:24:00.000+0000,15.0,2019-03-24T03:03:00.000+0000,16.75,2019-03-11T01:50:00.000+0000,21.0,2019-04-03T06:16:00.000+0000,20.0,2019-02-08T17:13:00.000+0000,12.5,2019-01-11T17:41:00.000+0000,23.0,2019-02-27T15:07:00.000+0000,,,11.216666666666667,2019-01-07T21:07:00.000+0000,18.0,2019-03-22T01:42:00.000+0000,,
6.3999999999999995,2019-03-10T19:33:00.000+0000,8.5,2019-02-22T16:59:00.000+0000,8.75,2019-04-09T19:13:00.000+0000,20.0,2019-03-24T03:16:00.000+0000,16.766666666666666,2019-01-24T16:15:00.000+0000,24.0,2019-04-06T22:18:00.000+0000,22.0,2019-02-10T19:23:00.000+0000,15.5,2019-01-11T23:00:00.000+0000,26.0,2019-03-14T21:35:00.000+0000,,,15.216666666666667,2019-01-07T21:07:00.000+0000,21.0,2019-02-14T03:04:00.000+0000,,
6.449999999999999,2019-03-10T19:34:00.000+0000,14.5,2019-03-01T02:15:00.000+0000,9.0,2019-04-12T13:59:00.000+0000,22.0,2019-03-29T01:11:00.000+0000,19.766666666666666,2019-03-23T18:12:00.000+0000,24.5,2019-01-16T21:13:00.000+0000,22.5,2019-03-25T02:39:00.000+0000,16.0,2019-01-12T13:10:00.000+0000,29.0,2019-03-20T02:07:00.000+0000,,,17.21666666666667,2019-01-11T04:32:00.000+0000,24.0,2019-03-22T01:45:00.000+0000,,
9.45,2019-03-15T01:00:00.000+0000,17.5,2019-03-06T01:47:00.000+0000,9.5,2019-01-14T19:06:00.000+0000,25.0,2019-04-11T21:31:00.000+0000,20.266666666666666,2019-01-10T22:10:00.000+0000,27.5,2019-03-21T04:12:00.000+0000,23.0,2019-03-30T15:45:00.000+0000,16.5,2019-02-09T18:49:00.000+0000,32.0,2019-03-27T02:19:00.000+0000,,,17.71666666666667,2019-01-16T02:05:00.000+0000,25.0,2019-03-22T01:46:00.000+0000,,
